Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/data,358,336,5,22.68361815595453,1.4343999937409535,2060.1038000022527,72.87150837988827,39.423199393702845,37.000544682357976,5,6,7,7,10,12,14,16,2100,2100,2100
GET,/api/hello,1018,962,5,13.569092730725549,1.479400001699105,2059.4341000105487,57.94499017681729,112.10284073404887,105.93608328698922,5,6,7,8,10,12,14,16,2000,2100,2100
GET,/health,322,300,3,22.64557701832165,1.0669999901438132,2055.265799994231,55.06211180124224,35.45885532059306,33.0362006092482,3,4,4,5,6,8,11,13,2100,2100,2100
,Aggregated,1698,1598,5,17.211983215317964,1.0669999901438132,2060.1038000022527,60.54534746760895,186.9848954483448,175.9728285785954,5,6,7,7,9,12,14,16,2100,2100,2100
